"Size_class","id","year","month","day","fhours","depth","sst","lon","lat","catch"
"large","AA_MA_20010704_062601",2001,7,4,3,-61,17.78,-69.5666666666667,42.6166666666667,1
"small","AA_MA_20010705_062602",2001,7,5,3,-61,17.78,-69.5666666666667,42.6166666666667,0
"large","AA_MA_20010705_062602",2001,7,5,3,-61,17.78,-69.5666666666667,42.6166666666667,1
"small","AA_MA_20010707_110201",2001,7,7,7,-51.8,16.11,-70.6666666666667,41.6666666666667,0
"large","AA_MA_20010707_110201",2001,7,7,7,-51.8,16.11,-70.6666666666667,41.6666666666667,0
"small","AA_MA_20010728_110301",2001,7,28,6,-65.5,17.22,-70.1666666666667,42.9166666666667,0
"large","AA_MA_20010728_110301",2001,7,28,6,-65.5,17.22,-70.1666666666667,42.9166666666667,1
"small","AA_MA_20010901_019001",2001,9,1,8,-47.2,23.89,-71.5,40.5,6
"large","AA_MA_20010901_019001",2001,9,1,8,-47.2,23.89,-71.5,40.5,0
"small","AA_MA_20010916_110701",2001,9,16,3,-76.2,17.22,-69.9166666666667,41.6666666666667,0
"large","AA_MA_20010916_110701",2001,9,16,3,-76.2,17.22,-69.9166666666667,41.6666666666667,1
"small","AA_MA_20010916_110702",2001,9,16,1,-73.2,17.22,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20010916_110702",2001,9,16,1,-73.2,17.22,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20010916_110703",2001,9,16,1,-73.2,17.22,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20010916_110703",2001,9,16,1,-73.2,17.22,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20010916_110704",2001,9,16,3,-67.1,17.22,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20010916_110704",2001,9,16,3,-67.1,17.22,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20010922_110801",2001,9,22,8,-27.4,16.67,-70.25,42.1666666666667,2
"large","AA_MA_20010922_110801",2001,9,22,8,-27.4,16.67,-70.25,42.1666666666667,0
"small","AA_MA_20011004_210101",2001,10,4,10,-91.4,13.89,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20011004_210101",2001,10,4,10,-91.4,13.89,-70.1666666666667,41.4166666666667,2
"small","AA_MA_20011019_110501",2001,10,19,10,-91.4,12.22,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20011019_110501",2001,10,19,10,-91.4,12.22,-70.1666666666667,41.4166666666667,1
"small","AA_MA_20011019_110502",2001,10,19,2,-121.9,12.22,-70.1666666666667,41.4166666666667,0
"large","AA_MA_20011019_110502",2001,10,19,2,-121.9,12.22,-70.1666666666667,41.4166666666667,1
"small","AA_MD_19960718_210401",1996,7,18,6,-36.6,24.44,-74.6166666666667,38.2,4
"large","AA_MD_19960718_210401",1996,7,18,6,-36.6,24.44,-74.6166666666667,38.2,0
"small","AA_MD_19960718_210403",1996,7,18,7,-39.6,22.78,-74.6166666666667,38.2,2
"large","AA_MD_19960718_210403",1996,7,18,7,-39.6,22.78,-74.6166666666667,38.2,0
"small","AA_MD_19980614_110501",1998,6,14,4,-31.7,17.78,-74.75,38.0833333333333,1
"large","AA_MD_19980614_110501",1998,6,14,4,-31.7,17.78,-74.75,38.0833333333333,0
"small","AA_MD_19980614_110503",1998,6,14,3,-548.6,21.11,-74.6666666666667,37.1666666666667,4
"large","AA_MD_19980614_110503",1998,6,14,3,-548.6,21.11,-74.6666666666667,37.1666666666667,0
"small","AA_MD_19980619_110603",1998,6,19,10,-914.4,21.11,-74.5,37.4,1
"large","AA_MD_19980619_110603",1998,6,19,10,-914.4,21.11,-74.5,37.4,0
"small","AA_MD_19980619_110604",1998,6,19,8,-54.9,22.22,-74.2833333333333,38.1,1
"large","AA_MD_19980619_110604",1998,6,19,8,-54.9,22.22,-74.2833333333333,38.1,0
"small","AA_MD_19980706_410103",1998,7,6,7,-45.7,22.78,-74.8333333333333,37.3333333333333,1
"large","AA_MD_19980706_410103",1998,7,6,7,-45.7,22.78,-74.8333333333333,37.3333333333333,0
"small","AA_MD_19980706_410107",1998,7,6,8,-36.6,22.78,-74.75,38.0833333333333,3
"large","AA_MD_19980706_410107",1998,7,6,8,-36.6,22.78,-74.75,38.0833333333333,0
"small","AA_MD_19980708_410201",1998,7,8,8,-39.6,22.78,-74.4,38.1833333333333,4
"large","AA_MD_19980708_410201",1998,7,8,8,-39.6,22.78,-74.4,38.1833333333333,0
"small","AA_MD_19980708_410202",1998,7,8,6,-36.6,23.33,-74.4,38.1833333333333,7
"large","AA_MD_19980708_410202",1998,7,8,6,-36.6,23.33,-74.4,38.1833333333333,0
"small","AA_MD_19980708_410204",1998,7,8,7,-53.3,22.22,-74.75,38.0833333333333,3
