"id","year","month","day","lon","lat","Size_class","catch","fhours","sst","sstsource","bathy","slp"
"2000_155133_3_9_28",2000,9,28,-63.5166666666667,44.4,"small",0,6,14.1499996185303,"OISST",-36.7,101732
"2000_155133_5_10_2",2000,10,2,-61.0333333333333,45.0833333333333,"small",0,12,14.0199995040894,"OISST",-142.5,101790
"2000_155387_10_9_18",2000,9,18,-63.3166666666667,44.5333333333333,"small",0,4,14.5499992370605,"OISST",-48.3,101242
"2000_155387_14_9_22",2000,9,22,-63.1333333333333,44.5833333333333,"small",0,9,15.5299997329712,"OISST",-47.1,101040
"2000_155387_16_9_25",2000,9,25,-63.3666666666667,44.5333333333333,"small",0,12,14.4699993133545,"OISST",-47.4,101027
"2000_155387_17_9_26",2000,9,26,-63.35,44.5333333333333,"small",0,6,14.6700000762939,"OISST",-45.3,101732
"2000_155387_19_9_28",2000,9,28,-63.1666666666667,44.6,"small",0,4,14.1499996185303,"OISST",-42,101732
"2000_156256_1_8_8",2000,8,8,-65.5833333333333,42.0833333333333,"small",0,24,16.6499996185303,"OISST",-516.1,101125
"2000_156256_2_10_23",2000,10,23,-63.2,44.6,"small",0,8,12.3400001525879,"OISST",-39.1,103440
"2000_156256_3_10_25",2000,10,25,-63.5333333333333,44.3833333333333,"small",0,9,12.5199995040894,"OISST",-32.5,102212
"2000_156256_4_10_26",2000,10,26,-63.4666666666667,44.4,"small",0,12,12.460000038147,"OISST",-87.2,102390
"2000_156256_5_10_27",2000,10,27,-63.4833333333333,44.3333333333333,"small",0,9,12.3899993896484,"OISST",-60.4,102060
"2000_156256_6_10_28",2000,10,28,-63.4666666666667,44.3166666666667,"small",0,7,12.3000001907349,"OISST",-67.1,100917
"2000_156256_7_10_30",2000,10,30,-63.5,44.3,"small",0,3,12.1099996566772,"OISST",-63.3,101102
"2000_156407_10_8_25",2000,8,25,-63.4333333333333,44.3833333333333,"small",0,9,15.460000038147,"OISST",-90.9,101442
"2000_156407_11_8_26",2000,8,26,-63.4333333333333,44.3833333333333,"small",0,5,15.9699993133545,"OISST",-90.9,101307
"2000_156407_12_8_29",2000,8,29,-63.3666666666667,44.3666666666667,"small",0,10.3,16.3500003814697,"OISST",-92.6,102315
"2000_156407_13_8_30",2000,8,30,-63.3666666666667,44.3666666666667,"small",0,10.3,17.2199993133545,"OISST",-92.6,102187
"2000_156407_14_8_31",2000,8,31,-63.3666666666667,44.3666666666667,"small",0,10.3,17.4499988555908,"OISST",-92.6,102052
"2000_156407_15_9_1",2000,9,1,-63.3666666666667,44.3666666666667,"small",0,9.3,16.2199993133545,"OISST",-92.6,101640
"2000_156407_16_9_2",2000,9,2,-63.3666666666667,44.3833333333333,"small",0,10.3,15.039999961853,"OISST",-80.4,101690
"2000_156407_17_9_3",2000,9,3,-63.3666666666667,44.3666666666667,"small",0,10,14.2399997711182,"OISST",-92.6,101392
"2000_156407_18_9_4",2000,9,4,-63.3666666666667,44.3833333333333,"small",0,6.3,14.3599996566772,"OISST",-80.4,101097
"2000_156407_2_8_15",2000,8,15,-63.45,44.5,"small",0,4.3,16.4400005340576,"OISST",-52.5,101727
"2000_156407_3_8_16",2000,8,16,-63.4333333333333,44.5,"small",0,12,16.0399990081787,"OISST",-51.7,101162
"2000_156407_4_8_17",2000,8,17,-63.4333333333333,44.5,"small",0,5,16.3599987030029,"OISST",-51.7,100755
"2000_156407_5_8_18",2000,8,18,-63.4333333333333,44.3833333333333,"small",0,6.3,16.7799987792969,"OISST",-90.9,101400
"2000_156407_6_8_19",2000,8,19,-63.4333333333333,44.3833333333333,"small",0,5,17.0499992370605,"OISST",-90.9,101415
"2000_156407_7_8_22",2000,8,22,-63.4333333333333,44.3833333333333,"small",0,5,17.0100002288818,"OISST",-90.9,102210
"2000_156407_8_8_23",2000,8,23,-63.4333333333333,44.3833333333333,"small",0,11.3,16.9599990844727,"OISST",-90.9,102180
"2000_156407_9_8_24",2000,8,24,-63.4333333333333,44.3833333333333,"small",0,4,16.1399993896484,"OISST",-90.9,101427
"2000_156408_10_10_13",2000,10,13,-63.3333333333333,44.5333333333333,"small",0,8.3,13.6799993515015,"OISST",-41.6,101485
"2000_156408_11_10_14",2000,10,14,-63.4333333333333,44.4166666666667,"small",0,10,13.2799997329712,"OISST",-84.9,101442
"2000_156408_14_10_17",2000,10,17,-63.25,44.5333333333333,"small",0,9.3,12.5500001907349,"OISST",-53.5,102667
"2000_156408_15_10_23",2000,10,23,-63.4833333333333,44.3166666666667,"small",0,7,12.3400001525879,"OISST",-61.6,103440
"2000_156408_16_10_24",2000,10,24,-63.4666666666667,44.4666666666667,"small",0,7,12.3099994659424,"OISST",-53.6,102657
"2000_156408_3_8_16",2000,8,16,-63.45,44.5666666666667,"small",0,5,16.0399990081787,"OISST",-17.5,101162
"2000_156408_4_8_17",2000,8,17,-63.45,44.5666666666667,"small",0,2,16.3599987030029,"OISST",-17.5,100755
"2000_156408_5_9_30",2000,9,30,-63.1833333333333,44.6166666666667,"small",0,4.5,13.8499994277954,"OISST",-31.4,102620
"2000_156408_6_10_2",2000,10,2,-63.5,44.4333333333333,"small",0,7,14.0199995040894,"OISST",-56.1,101790
"2000_156408_7_10_4",2000,10,4,-63.5,44.4333333333333,"small",0,12,14.3899993896484,"OISST",-56.1,100955
"2000_156408_9_10_12",2000,10,12,-63.4833333333333,44.45,"small",0,8.3,13.7299995422363,"OISST",-54.7,101670
