"id","year","month","day","lon","lat","Size_class","catch","fhours","sst","sstsource","bathy"
"208278",2007,10,5,-65,43,"small",0,17.5,14.5,"OISST",-133
"208279",2007,10,5,-60.3,45.3333333333333,"small",0,14.5,11.6899995803833,"OISST",-186.8
"208282",2007,10,5,-63.1355555555556,44.6019444444444,"small",0,17.1666666666667,15.75,"OISST",-45
"208292",2007,10,5,-63.1352777777778,44.6022222222222,"small",0,15.8333333333333,15.5555555555556,"Field",-45
"208294",2007,10,5,-60.85,45.2833333333333,"small",0,13,11.6899995803833,"OISST",-52.2
"208296",2007,10,5,-61.0683333333333,45.1977777777778,"small",1,14.5,11.6899995803833,"OISST",-32.8
"208300",2007,10,5,-63.0955555555556,44.6333333333333,"small",0,16.5,15.75,"OISST",-30.7
"208305",2007,10,5,-65,43,"small",0,16.5,14.5,"OISST",-133
"20831",2002,8,13,-60.85,45.35,"small",0,14.5,15.1599998474121,"OISST",-34.1
"208312",2007,10,5,-65,43,"small",0,19.1666666666667,14.5,"OISST",-133
"208314",2007,10,5,-63.1166666666667,44.6,"small",0,8,15.75,"OISST",-45.3
"208319",2007,10,5,-60.9333333333333,45.2333333333333,"small",1,14.5,11.6899995803833,"OISST",-47.4
"208320",2007,10,5,-63.1188888888889,44.5972222222222,"small",0,17.5,15.75,"OISST",-46.1
"208357",2007,10,5,-60.8,45.2833333333333,"small",0,9,11.6899995803833,"OISST",-65.1
"208360",2007,10,5,-63.1438888888889,44.6138888888889,"small",0,16.5,15.75,"OISST",-36.8
"208394",2007,10,5,-63.09,44.6116666666667,"small",0,16.5,16.6666666666667,"Field",-28.6
"208412",2007,10,5,-60.8872222222222,45.3177777777778,"small",0,11.5,11.6899995803833,"OISST",-24.6
"208420",2007,10,5,-63.1408333333333,43.6211111111111,"small",0,15.6666666666667,15.75,"OISST",-246.4
"208428",2007,10,5,-63.1311111111111,44.6102777777778,"small",0,15.5,15.5555555555556,"Field",-40.1
"208429",2007,10,5,-63.1666666666667,44.5833333333333,"small",0,17,15.75,"OISST",-49.8
"208432",2007,10,6,-63.1358333333333,44.6213888888889,"small",0,17,15.5899991989136,"OISST",-26.4
"208439",2007,10,6,-63.1291666666667,44.6069444444444,"small",0,17,15.5899991989136,"OISST",-43.7
"208449",2007,10,5,-64.2447222222222,44.2011111111111,"small",0,18.3333333333333,15.75,"OISST",-44.4
"208461",2007,10,4,-63.1591666666667,44.6102777777778,"small",0,16.5,16.1800003051758,"OISST",-30.9
"208495",2007,10,5,-63.05,44.6,"small",0,17.5,15.75,"OISST",-41.6
"208501",2007,10,6,-63.1694444444444,44.6083333333333,"small",0,16.5,15.5899991989136,"OISST",-35.9
"208525",2007,10,6,-60.8666666666667,45.2833333333333,"small",0,13.5,11.4299993515015,"OISST",-40.5
"208526",2007,10,6,-60.85,45.2833333333333,"small",0,13,11.4299993515015,"OISST",-52.2
"208533",2007,10,6,-63.1438888888889,44.6138888888889,"small",0,16.5,15.5899991989136,"OISST",-36.8
"208535",2007,10,6,-60.9833333333333,45.2,"small",0,12,11.4299993515015,"OISST",-52.7
"208538",2007,10,6,-63.2166666666667,44.5833333333333,"small",0,17,15.5899991989136,"OISST",-41.4
"208541",2007,10,6,-63.1375,44.6141666666667,"small",0,15.5,15.5899991989136,"OISST",-35.2
"208542",2007,10,6,-63.1758333333333,44.6008333333333,"small",0,16.5,15.5899991989136,"OISST",-41.8
"208546",2007,10,6,-63.1286111111111,44.6111111111111,"small",0,17.5,15.5899991989136,"OISST",-40.1
"208547",2007,10,6,-60.9333333333333,45.2333333333333,"small",1,14.5,11.4299993515015,"OISST",-47.4
"208562",2007,10,6,-63.2166666666667,44.5833333333333,"small",0,17,15.5899991989136,"OISST",-41.4
"208567",2007,10,6,-63.1230555555556,44.6027777777778,"small",0,16,15.5899991989136,"OISST",-46.4
"208573",2007,10,6,-60.3,45.3666666666667,"small",0,14,11.4299993515015,"OISST",-114.7
"208574",2007,10,6,-61,45.1666666666667,"small",0,9,11.4299993515015,"OISST",-70.9
"208592",2007,10,7,-65,43,"small",0,16.5,13.2999992370605,"OISST",-133
"208596",2007,10,7,-63.1369444444444,44.6236111111111,"small",0,18.5,15.4899997711182,"OISST",-26.1
"208598",2007,10,7,-65,43,"small",0,18,13.2999992370605,"OISST",-133
"208607",2007,10,9,-61.0166666666667,45.1833333333333,"small",0,14.9166666666667,10.6999998092651,"OISST",-55.7
"208613",2007,10,7,-65,43,"small",0,17.5,13.2999992370605,"OISST",-133
"208618",2007,10,7,-63.1172222222222,44.6188888888889,"small",0,17.5,15.4899997711182,"OISST",-43
"208643",2007,10,7,-63.0833333333333,44.6166666666667,"small",0,15.5,15.5555555555556,"Field",-42.5
"208677",2007,10,8,-63.1166666666667,44.6,"small",0,17.5,15.1099996566772,"OISST",-45.3
"208704",2007,10,8,-65,43,"small",0,17.5,13.5499992370605,"OISST",-133
"208714",2007,10,8,-63.1230555555556,44.6027777777778,"small",0,16,15.1099996566772,"OISST",-46.4
"208729",2007,10,9,-63.3,44.6,"small",0,14.5,14.8199996948242,"OISST",-17.8
