"Size_class","id","year","fhours","depth","sst","lon","lat","catch"
"large","2002-265903",2002,6,-120,20.56,-75.1833333333333,37.25,0
"small","2002-266401",2002,6,-65,25,-75.1666666666667,37.25,0
"large","2002-266401",2002,6,-65,25,-75.1666666666667,37.25,0
"small","2002-266402",2002,8,-82,25.56,-75.1666666666667,37.25,3
"large","2002-266402",2002,8,-82,25.56,-75.1666666666667,37.25,0
"small","2002-266502",2002,4,-60,21.67,-74.75,38.0833333333333,6
"large","2002-266502",2002,4,-60,21.67,-74.75,38.0833333333333,0
"small","2002-266503",2002,6,-120,23.33,-74.75,38.0833333333333,4
"large","2002-266503",2002,6,-120,23.33,-74.75,38.0833333333333,0
"small","2002-266505",2002,8,-150,20.56,-74.4,38.1833333333333,0
"large","2002-266505",2002,8,-150,20.56,-74.4,38.1833333333333,0
"small","2002-266510",2002,7,-120,22.22,-74.6166666666667,38.2,0
"large","2002-266510",2002,7,-120,22.22,-74.6166666666667,38.2,0
"small","2002-266513",2002,7,-160,22.22,-74.2833333333333,38.1,0
"large","2002-266513",2002,7,-160,22.22,-74.2833333333333,38.1,0
"small","2002-266514",2002,8,-100,23.33,-74.6166666666667,38.2,1
"large","2002-266514",2002,8,-100,23.33,-74.6166666666667,38.2,0
"small","2002-266517",2002,8,-120,21.11,-74.75,38.0833333333333,0
"large","2002-266517",2002,8,-120,21.11,-74.75,38.0833333333333,0
"small","2002-267302",2002,7,-210,22.78,-74.2833333333333,38.1,0
"large","2002-267302",2002,7,-210,22.78,-74.2833333333333,38.1,0
"small","2002-267306",2002,7,-146,23.89,-74.2833333333333,38.1,0
"large","2002-267306",2002,7,-146,23.89,-74.2833333333333,38.1,0
"small","2002-268401",2002,9,-160,22.22,-74.2833333333333,38.1,1
"large","2002-268401",2002,9,-160,22.22,-74.2833333333333,38.1,0
"small","2002-268405",2002,8,-145,22.78,-74.2833333333333,38.1,1
"large","2002-268405",2002,8,-145,22.78,-74.2833333333333,38.1,0
"small","2002-268408",2002,10,-120,22.78,-74.2833333333333,38.1,0
"large","2002-268408",2002,10,-120,22.78,-74.2833333333333,38.1,0
"small","2002-268501",2002,8,-130,20,-74.2833333333333,38.1,0
"large","2002-268501",2002,8,-130,20,-74.2833333333333,38.1,0
"small","2002-268502",2002,7,-120,21.11,-74.2833333333333,38.1,1
"large","2002-268502",2002,7,-120,21.11,-74.2833333333333,38.1,0
"small","2002-269002",2002,7,-114,22.78,-74.2833333333333,38.1,1
"large","2002-269002",2002,7,-114,22.78,-74.2833333333333,38.1,0
"small","2002-269006",2002,7,-145,22.22,-74.2833333333333,38.1,0
"large","2002-269006",2002,7,-145,22.22,-74.2833333333333,38.1,0
"small","2002-269008",2002,8,-125,23.89,-74.2833333333333,38.1,0
"large","2002-269008",2002,8,-125,23.89,-74.2833333333333,38.1,0
"small","2002-269204",2002,8,-102,22.22,-74.75,38.0833333333333,1
"large","2002-269204",2002,8,-102,22.22,-74.75,38.0833333333333,0
"small","2002-269206",2002,6,-130,23.33,-74.4666666666667,38.8166666666667,1
"large","2002-269206",2002,6,-130,23.33,-74.4666666666667,38.8166666666667,0
"small","2002-269209",2002,8,-129,22.78,-74.2833333333333,38.1,0
"large","2002-269209",2002,8,-129,22.78,-74.2833333333333,38.1,0
