intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,curvey,lenth,q11a,s_index,serrflag,sprobfld,id
6416,6,1,2017,06,09,015801,0251050,0,0,34,01,2212,1,NJJN2212.pdf,00108420.tif,ORIGINAL,3551,0158,9996,9996,1859,1,9996,0,1,,,3,85,0,,2017-015801
6447,3,1,2017,06,11,013402,0470853,0,0,24,02,1201,1,MDJN1201.pdf,00108236.tif,ORIGINAL,3551,0134,9996,9996,1903,2,9996,0,1,,,3,74,0,,2017-013402
7684,4,1,2017,06,23,034502,1030137,0,0,36,02,2215,1,NYJN2215.pdf,00109567.tif,ORIGINAL,3551,0345,9996,9996,1907,2,9996,0,1,,,3,107,0,,2017-034502
7519,5,1,2017,06,30,043201,1030133,0,0,36,01,2205,1,NYJN2205.pdf,00110017.tif,ORIGINAL,3551,0432,9996,9996,1934,2,9996,0,1,,,3,106,0,,2017-043201
6416,6,1,2017,06,25,034106,0251050,0,0,34,06,1116,1,NJJN1116.pdf,00109516.tif,ORIGINAL,3551,0341,9996,9996,1943,2,9996,0,1,,,2,88,0,,2017-034106
7466,5,1,2017,06,23,030801,1030037,0,0,36,01,2120,1,NYJN2120.pdf,00109268.tif,ORIGINAL,3551,0308,9996,9996,1996,1,9996,0,1,,,3,96,0,,2017-030801
6416,6,1,2017,06,17,026302,0251050,0,0,34,02,1115,1,NJJN1115.pdf,00109013.tif,ORIGINAL,3551,0263,9996,9996,2028,2,9996,0,1,,,3,86,0,,2017-026302
6416,6,1,2017,06,17,026306,0251050,0,0,34,06,1115,1,NJJN1115.pdf,00109021.tif,ORIGINAL,3551,0263,9996,9996,2037,2,9996,0,1,,,3,87,0,,2017-026306
7466,5,1,2017,06,23,030802,1030133,0,1,36,02,2120,1,NYJN2120.pdf,00109270.tif,ORIGINAL,3551,0308,9996,9996,2056,2,9996,0,1,,,2,97,0,,2017-030802
6013,3,1,2017,06,08,013708,0090900,0,0,34,08,2105,1,NJJN2105.pdf,00108288.tif,ORIGINAL,3551,0137,9996,9996,2088,2,9996,0,1,,,3,78,0,,2017-013708
