tourn_name,location,id,tracker,intcode,intdate,month,day,year,inttime,stcode,control,docno,county,siteno,site_no,cluster,sitetype,prim_op,todayt,perm_pos,category,perm_ver,cgnbr_pos,strgnbr_pos,ppstate,ppstfips,returnt,prim1,prim2,tourn,tcode,hook,hook_oth,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chunk,fm_chum,fm_other,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,measur,gear,gear_oth,issueddate,CoastNum,StReg,boat,st
6,LUMPS,2008-006701,006701,6783,17692,06,09,2008,1648,10,2105,01,005,1599,0051599,2,3,1,2,1,2,2,8,1,DE,10,1645,3591,9996,2,6,1,6,3,6,0,0,1,0,0,1,0,6,2,3849,7428,30,120,64,1,2,1,2,6,6,,,,,
6,BOSTON HARBOR,2008-006801,006801,6591,17693,06,10,2008,1430,25,2212,01,023,9038,0239038,9,1,2,1,1,3,2,1,2,MA,25,1430,4180,4677,2,6,12,6,6,6,0,1,0,1,0,0,1,CASTING,6,9998,9998,5,40,59,1,2,2,2,6,6,,,,,
6,SW STELLWAGEN,2008-006802,006802,6591,17693,06,10,2008,1515,25,2212,02,023,9038,0239038,9,1,2,1,1,3,2,1,2,MA,25,1515,4671,9996,2,6,2,6,4,5,0,1,0,1,0,0,0,6,2,4210,7015,18,90,98,1,2,2,2,6,6,,,,,
MAK0 MANIA,HAMBONE,2008-006901,006901,6783,17690,06,07,2008,1659,24,1101,01,047,0004,0470004,1,1,1,2,1,3,1,8,8,NJ,34,1600,3551,9996,1,T500,1,6,4,5,0,0,1,0,0,1,0,6,4,3811,7424,40,135,67,1,2,1,1,6,6,,,,,
MAKO MANIA,CHICKEN BONE,2008-006902,006902,6783,17690,06,07,2008,1722,24,1101,02,047,0004,0470004,1,1,2,1,1,3,2,1,8,MD,24,1710,3551,9996,1,T500,2,6,4,7,0,0,1,0,0,1,0,6,4,3815,7428,34,147,68,1,2,1,2,6,6,,,,,
6,DELAWARE BAY,2008-007001,007001,6829,17689,06,06,2008,1600,34,2101,01,009,0900,0090900,3,1,1,2,2,6,6,6,1,NJ,34,1530,1060,3591,2,6,1,6,4,5,1,0,0,0,0,1,0,6,2,9998,9998,6,25,66,1,2,1,2,6,6,,,,,
6,CANPO,2008-007002,007002,6829,17689,06,06,2008,1620,34,2101,02,009,0900,0090900,3,1,2,1,1,3,1,1,6,NJ,34,1600,3591,9996,2,6,2,6,4,12,1,0,0,0,0,1,0,6,8,9998,9998,50,130,66,1,1,1,1,6,6,,,,,
6,CIGAR,2008-007201,007201,6864,17691,06,08,2008,1745,51,1102,01,810,0091,8100091,1,1,2,2,1,2,1,8,8,VA,51,1725,4711,1050,2,6,2,6,8,7,0,0,1,1,0,0,0,6,4,3630,7450,68,4700,73,1,1,1,1,6,6,,,,,
6,CIGAR,2008-007202,007202,6864,17691,06,08,2008,1810,51,1102,02,810,0091,8100091,1,1,2,2,1,3,1,8,8,VA,51,1755,4656,9996,2,6,2,6,10,8,0,1,1,1,0,0,0,6,5,3630,7450,65,4800,72,1,1,1,1,6,6,,,,,
6,WILMINGTON CANYON,2008-007401,007401,6788,17693,06,10,2008,1540,24,2202,01,047,1493,0471493,5,1,2,1,1,3,6,8,8,MD,24,1530,4711,9996,2,6,2,6,8,9,0,0,1,1,0,0,0,6,2,3824,7327,60,4800,73,1,2,2,2,6,6,,,,,
6,HAMBONE,2008-007402,007402,6788,17693,06,10,2008,1545,24,2202,02,047,1493,0471493,5,1,2,1,1,3,1,8,2,MD,24,1540,3551,9996,2,6,12,6,4,8,0,0,1,0,0,1,0,6,6,3811,7424,30,130,71,1,1,2,2,6,6,,,,,
6,ROCK PILE,2008-007403,007403,6788,17693,06,10,2008,1638,24,2202,03,047,1493,0471493,5,1,2,1,1,3,1,8,2,MD,24,1625,4711,4677,2,6,2,6,9,7,0,0,1,1,0,0,0,6,5,9998,9998,56,540,74,1,2,1,1,6,6,,,,,
6,8 MI EAST IRM,2008-007501,007501,6783,17693,06,10,2008,1622,10,2106,01,005,1599,0051599,2,1,1,2,1,2,7,2,1,DE,10,1621,3350,3591,2,6,2,6,3,4,0,0,1,0,0,0,1,BOTTOM RIG,2,9997,9997,8,80,70,2,2,1,2,6,6,,,,,
