tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
071601,6,25,MA,6,01,6,6,THE CANYON,7709,44,1622,2205,0019,12,3,1,2,2,2,1620,4711,9996,2,2,7,36,0,1,1,1,0,0,0,4,3947,7013,80,600,75,1,2,1,RIJL2205.pdf,00111910.tif,2017,0,0,0,ORIGINAL,07,17,21017,0716,0090019,009,3,850,1,Q20;,Y,2,,2017-071601
071701,6,44,RI,6,01,6,6,ATLANTIS CANYON,7706,44,1600,2207,4047,11,1,2,2,3,2,1430,4711,4328,2,2,6,32,0,1,1,1,0,1,0,3,3947,7013,98,1200,75,1,2,1,RIJL2207.pdf,00111747.tif,2017,1,0,0,ORIGINAL,07,18,21018,0717,0094047,009,3,851,0,,Y,2,,2017-071701
071702,6,36,NY,6,02,6,6,ATLANTIS CANYON,7706,44,2000,2207,4047,11,1,1,2,2,6,2000,4711,4691,2,2,10,26,0,1,0,1,0,0,0,4,3947,7013,115,1500,75,1,1,1,RIJL2207.pdf,00111749.tif,2017,1,1,0,ORIGINAL,07,18,21018,0717,0094047,009,3,852,1,Q25;,N,2,,2017-071702
071801,6,44,RI,6,01,6,6,S MARTHAS VINEYARD,7708,44,1645,2213,4047,11,1,2,1,3,1,1630,4711,4676,2,12,4,8,1,1,1,1,1,1,0,4,9998,9998,18,140,68,2,2,2,RIJL2213.pdf,00111754.tif,2017,0,1,0,ORIGINAL,07,17,21017,0718,0094047,009,3,857,0,,Y,2,,2017-071801
071802,6,44,RI,6,02,6,6,THE CLAW,7708,44,1757,2213,4047,11,1,2,1,3,1,1745,4676,9996,2,1,3,10,0,0,1,0,0,1,0,4,4105,7050,30,157,68,1,2,1,RIJL2213.pdf,00111755.tif,2017,0,1,0,ORIGINAL,07,17,21017,0718,0094047,009,3,859,0,,Y,1,,2017-071802
071803,6,44,RI,6,03,6,DRIFTING,COX LEDGE,7708,44,1846,2213,4047,11,1,2,1,3,1,1835,4676,9996,2,1,4,10,1,0,0,0,0,0,1,4,4105,7110,30,168,69,1,2,2,RIJL2213.pdf,00111757.tif,2017,1,0,0,ORIGINAL,07,17,21017,0718,0094047,009,3,858,0,,N,2,,2017-071803
071804,6,44,RI,6,04,6,6,THE CANYON,7708,44,1920,2213,4047,11,1,2,2,3,1,1900,4711,9996,2,2,8,36,0,1,0,1,0,0,0,3,3947,7013,100,2400,77,2,2,1,RIJL2213.pdf,00111758.tif,2017,0,0,0,ORIGINAL,07,17,21017,0718,0094047,009,3,856,1,Q20;,Y,2,,2017-071804
072001,6,51,VA,6,01,6,6,FINGERS,7662,51,1725,2109,0091,1,1,2,1,3,1,1712,4711,1050,2,2,9,9,0,0,1,1,0,0,0,3,3700,7510,60,300,78,1,1,1,VAJL2109.pdf,00111765.tif,2017,0,0,0,ORIGINAL,07,17,21017,0720,8100091,810,7,908,0,,Y,2,,2017-072001
072002,6,37,NC,6,02,6,6,TRIPLE ZEROS,7662,51,1740,2109,0091,1,1,1,2,1,1,1730,2171,2161,2,1,7,6,0,0,1,1,0,0,0,4,3615,7450,50,500,78,1,1,1,VAJL2109.pdf,00111767.tif,2017,0,0,0,ORIGINAL,07,17,21017,0720,8100091,810,7,909,0,,Y,2,,2017-072002
072003,6,51,VA,6,03,6,6,TRIPLE ZEROS,7662,51,1830,2109,0091,1,1,1,2,2,1,1823,2171,4711,2,2,8,10,0,0,1,1,0,0,0,2,3615,7450,75,500,78,1,1,1,VAJL2109.pdf,00111769.tif,2017,0,0,0,ORIGINAL,07,17,21017,0720,8100091,810,7,907,0,,Y,2,,2017-072003
072004,6,51,VA,6,04,6,6,FINGERS,7662,51,1940,2109,0002,1,1,2,1,3,1,1925,4711,9996,2,2,12,7,0,1,1,1,0,0,0,6,3700,7510,45,132,80,1,1,1,VAJL2109.pdf,00111771.tif,2017,0,0,0,ORIGINAL,07,17,21017,0720,8100002,810,7,906,0,,Y,1,,2017-072004
072101,6,51,VA,6,01,6,6,CIGAR,7686,51,1625,2110,0088,3,1,2,1,3,1,1600,1050,9996,2,2,6,8,0,0,1,0,0,1,0,6,3630,7450,50,500,81,1,2,1,VAJL2110.pdf,00111775.tif,2017,0,0,0,ORIGINAL,07,17,21017,0721,8100088,810,7,911,0,,Y,2,,2017-072101
072102,6,51,VA,6,02,6,6,CIGAR,7686,51,1721,2110,0088,3,1,2,2,3,1,1709,2171,2161,2,2,10,7,0,0,1,1,0,0,0,5,3630,7450,60,300,80,1,2,1,VAJL2110.pdf,00111777.tif,2017,0,0,0,ORIGINAL,07,17,21017,0721,8100088,810,7,910,0,,Y,1,,2017-072102
072401,6,51,VA,6,01,6,6,NORFOLK CANYON,7617,51,1805,2212,0265,2,1,1,2,2,1,1750,4656,7777,2,2,6,7,0,0,1,1,0,0,0,4,3705,7435,60,1500,76,1,2,1,VAJL2212.pdf,00111786.tif,2017,0,0,0,ORIGINAL,07,19,21019,0724,8100265,810,7,937,0,,Y,2,,2017-072401
072701,6,10,DE,6,01,6,6,19 FATHOM LUMP,7670,10,1620,2202,0013,1,1,1,2,2,1,1530,4711,9996,2,12,4,10,0,0,1,0,0,1,0,3,3830,7420,55,110,78,1,1,1,DEJL2202.pdf,00111794.tif,2017,0,0,0,ORIGINAL,07,20,21020,0727,0050013,005,6,245,0,,Y,1,,2017-072701
072801,6,25,MA,6,01,6,6,THE DUMP,7651,25,1640,1131,9028,11,1,1,2,2,7,1630,4677,9996,2,2,7,8,0,1,0,1,0,0,0,3,4225,7040,3,180,70,1,2,2,MAJL1131.pdf,00111799.tif,2017,0,1,0,ORIGINAL,07,16,21016,0728,0019028,001,2,465,0,,Y,2,,2017-072801
072802,6,25,MA,6,02,6,6,DUMPING GROUNDS,7651,25,1725,1131,0402,11,1,1,2,1,7,1710,4671,9996,2,2,9,3,0,1,0,1,0,0,0,3,4045,7055,48,200,70,1,1,2,MAJL1131.pdf,00111800.tif,2017,0,1,0,ORIGINAL,07,16,21016,0728,0010402,001,2,464,0,,Y,2,,2017-072802
073201,6,25,MA,6,01,6,LIVE LINING,STELLWAGEN BANK,7680,25,1845,2149,9005,20,1,1,2,1,1,1839,4671,9996,2,1,3,8,1,0,0,0,0,0,1,2,4210,7010,5,100,68,1,1,1,MAJL2149.pdf,00111811.tif,2017,0,0,0,ORIGINAL,07,19,21019,0732,0099005,009,2,553,0,,Y,2,,2017-073201
073202,6,25,MA,6,02,6,LIVE LINING,IPSWITCH BAY,7680,25,1945,2149,9007,20,1,1,2,1,1,1900,4671,9996,2,2,4,10,1,0,1,0,0,0,1,2,4240,7040,6,200,99,1,2,1,MAJL2149.pdf,00111813.tif,2017,0,1,0,ORIGINAL,07,19,21019,0732,0099007,009,2,554,0,,Y,2,,2017-073202
073401,6,25,MA,6,01,6,LIVE LINING,OUTER FLAG,7633,25,1850,2155,0685,19,1,2,2,3,7,1825,4671,9996,2,12,3,10,1,0,0,0,0,0,1,3,4252,7029,14,200,98,1,2,1,MAJL2155.pdf,00111821.tif,2017,0,1,0,ORIGINAL,07,20,21020,0734,0090685,009,2,555,0,,Y,2,,2017-073401
073601,6,25,MA,6,01,6,DRIFTING,STELLWAGON SOUTH,7649,25,1440,2237,0217,8,3,1,2,1,7,1400,4671,9996,2,2,4,8,1,0,0,0,0,0,1,2,4210,7015,5,180,98,1,2,1,MAJL2237.pdf,00111825.tif,2017,0,1,0,ORIGINAL,07,20,21020,0736,0230217,023,2,592,0,,Y,1,,2017-073601
073602,6,25,MA,6,02,6,DRIFTING,STELLWAGEN BANK,7649,25,1535,2237,0217,8,3,1,2,1,2,1525,4671,9996,2,2,2,6,1,0,0,0,0,0,1,1,4210,7015,7,80,98,1,2,1,MAJL2237.pdf,00111827.tif,2017,0,0,0,ORIGINAL,07,20,21020,0736,0230217,023,2,590,0,,Y,2,,2017-073602
