intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,filestat,s_index,serrflag,sprobfld,id
6778,8,1,2011,06,25,028205,0010039,0,1,51,05,1107,1,vajn1107.tif,00036825.tif,1050,0282,9996,9996,883,1,9996,0,7,ORIGINAL,123,0,,2011-028205
6783,8,3,2011,06,26,027502,0010039,0,0,51,02,1209,1,vajn1209.tif,00036770.tif,1050,0275,9996,9996,886,1,9996,0,2,ORIGINAL,132,0,,2011-027502
6778,8,4,2011,06,25,028204,0010039,0,1,51,04,1107,1,vajn1107.tif,00036823.tif,1050,0282,9996,9996,888,2,9996,0,4,ORIGINAL,120,0,,2011-028204
6590,3,1,2011,06,12,011303,8100088,0,0,51,03,1204,1,vajn1204.tif,00035555.tif,1050,0113,9996,9996,889,1,9996,0,2,ORIGINAL,71,0,,2011-011303
6778,7,1,2011,06,05,005101,0010024,0,0,51,01,1102,1,vajn1102.tif,00035252.tif,1050,0051,9996,9996,894,1,9996,0,1,ORIGINAL,100,0,,2011-005101
6590,3,1,2011,06,16,017701,8100088,0,0,51,01,2206,1,vajn2206.tif,00035905.tif,1050,0177,9996,9996,896,2,9996,0,2,ORIGINAL,74,0,,2011-017701
7393,3,1,2011,06,15,014101,8100088,0,0,51,01,2115,1,vajn2115.tif,00035643.tif,1050,0141,9996,9996,899,1,9996,0,2,ORIGINAL,171,0,,2011-014101
7393,1,1,2011,06,11,011203,8100002,0,0,51,03,1201,1,vajn1201.tif,00035541.tif,1050,0112,9996,9996,901,2,9996,0,2,ORIGINAL,157,0,,2011-011203
6778,7,1,2011,06,11,010704,0010024,0,1,51,04,1103,1,vajn1103.tif,00035513.tif,1050,0107,9996,9996,902,1,9996,0,3,ORIGINAL,103,0,,2011-010704
6590,3,1,2011,06,12,011303,8100088,0,0,51,03,1204,1,vajn1204.tif,00035555.tif,1050,0113,9996,9996,903,1,9996,0,3,ORIGINAL,72,0,,2011-011303
7393,1,1,2011,06,11,011204,8100002,0,0,51,04,1201,1,vajn1201.tif,00035543.tif,1050,0112,9996,9996,903,2,9996,0,3,ORIGINAL,162,0,,2011-011204
