tracker,stcode,control,docno,c_index,cerrflag,cprobfld,faxno,batch,intcode,tifno,cluster,sitetype,q11a,q23,interr,filestat,month,day,year,enterr,site_no,othlp,species,row,kept,observe,alive,dead,sell,weighed,measur,id
359305,10,1203,05,69,0,,DEJL1203.pdf,3593,6783,00163011.tif,2,1,2,4,0,ORIGINAL,07,04,2021,0,0051599,YFT,4711,1,1,0,0,0,0,0,2,2021-359305
359306,10,1203,06,71,0,,DEJL1203.pdf,3593,6783,00163013.tif,2,1,3,6,0,ORIGINAL,07,04,2021,0,0051599,SKIPJACK TUNA,4661,1,1,1,0,0,0,0,1,2021-359306
359306,10,1203,06,72,0,,DEJL1203.pdf,3593,6783,00163013.tif,2,1,3,6,0,ORIGINAL,07,04,2021,0,0051599,YFT,4711,2,10,10,0,0,0,1,1,2021-359306
359306,10,1203,06,70,0,,DEJL1203.pdf,3593,6783,00163013.tif,2,1,3,6,0,ORIGINAL,07,04,2021,0,0051599,WHITE MARLIN,2161,3,0,0,1,0,0,0,1,2021-359306
359307,10,1203,07,73,0,,DEJL1203.pdf,3593,6783,00163015.tif,2,1,2,4,0,ORIGINAL,07,04,2021,0,0051599,YFT,4711,1,5,5,0,0,0,0,2,2021-359307
359308,10,1203,08,75,0,,DEJL1203.pdf,3593,6783,00163017.tif,2,1,2,3,0,ORIGINAL,07,04,2021,0,0051599,YFT,4711,1,4,4,0,0,0,1,1,2021-359308
359308,10,1203,08,74,0,,DEJL1203.pdf,3593,6783,00163017.tif,2,1,2,3,0,ORIGINAL,07,04,2021,0,0051599,SKIPJACK TUNA,4661,2,4,4,0,0,0,0,1,2021-359308
359401,25,2117,01,482,0,,MAJL2117.pdf,3594,7633,00163021.tif,33,4,1,2,0,ORIGINAL,07,05,2021,0,0099242,ATLANTIC MACKEREL,2120,1,2,0,2,0,0,0,2,2021-359401
359401,25,2117,01,481,0,,MAJL2117.pdf,3594,7633,00163021.tif,33,4,1,2,0,ORIGINAL,07,05,2021,0,0099242,HERRING,1670,2,4,0,6,0,0,0,2,2021-359401
359401,25,2117,01,483,0,,MAJL2117.pdf,3594,7633,00163021.tif,33,4,1,2,0,ORIGINAL,07,05,2021,0,0099242,SILVER HAKE,5090,3,3,0,2,0,0,0,2,2021-359401
359501,24,2203,01,328,0,,MDJL2203.pdf,3595,7844,00163025.tif,3,1,3,6,0,ORIGINAL,07,05,2021,0,0470853,YFT,4711,1,5,5,0,0,0,0,1,2021-359501
359502,24,2203,02,329,0,,MDJL2203.pdf,3595,7844,00163027.tif,3,1,3,5,0,ORIGINAL,07,05,2021,0,0470853,YFT,4711,1,5,5,0,0,0,0,2,2021-359502
359503,24,2203,03,331,0,,MDJL2203.pdf,3595,7844,00163029.tif,3,1,3,6,0,ORIGINAL,07,05,2021,0,0470853,YFT,4711,1,8,8,0,0,0,0,2,2021-359503
359503,24,2203,03,330,0,,MDJL2203.pdf,3595,7844,00163029.tif,3,1,3,6,0,ORIGINAL,07,05,2021,0,0470853,WHITE MARLIN,2161,2,0,0,1,0,0,0,2,2021-359503
359504,24,2203,04,332,0,,MDJL2203.pdf,3595,7844,00163031.tif,3,1,3,6,0,ORIGINAL,07,05,2021,0,0470853,YFT,4711,1,4,4,0,0,0,0,2,2021-359504
359505,24,2203,05,333,0,,MDJL2203.pdf,3595,7844,00163033.tif,3,1,3,6,0,ORIGINAL,07,05,2021,0,0470853,YFT,4711,1,2,2,0,0,0,0,2,2021-359505
359506,24,2203,06,334,0,,MDJL2203.pdf,3595,7844,00163035.tif,3,1,3,4,0,ORIGINAL,07,05,2021,0,0470853,YFT,4711,1,8,8,0,0,0,0,2,2021-359506
359507,24,2203,07,337,0,,MDJL2203.pdf,3595,7844,00163037.tif,3,1,3,6,0,ORIGINAL,07,05,2021,0,0470853,YFT,4711,1,1,1,0,0,0,0,2,2021-359507
359507,24,2203,07,336,0,,MDJL2203.pdf,3595,7844,00163037.tif,3,1,3,6,0,ORIGINAL,07,05,2021,0,0470853,GOLDEN TILEFISH,4467,2,6,6,0,0,0,0,2,2021-359507
359507,24,2203,07,335,0,,MDJL2203.pdf,3595,7844,00163037.tif,3,1,3,6,0,ORIGINAL,07,05,2021,0,0470853,BLUELINE TILEFISH,4440,3,5,5,0,0,0,0,2,2021-359507
359601,33,2108,01,584,0,,NHJL2108.pdf,3596,7915,00163072.tif,3,1,1,2,0,ORIGINAL,07,05,2021,0,0150020,HADDOCK,1479,1,0,0,6,0,0,0,2,2021-359601
359601,33,2108,01,585,0,,NHJL2108.pdf,3596,7915,00163072.tif,3,1,1,2,0,ORIGINAL,07,05,2021,0,0150020,POLLOCK,2695,2,0,0,6,0,0,0,2,2021-359601
359701,34,1102,01,635,0,,NJJL1102.pdf,3597,7509,00163042.tif,2,1,3,6,0,ORIGINAL,07,04,2021,0,0011724,YFT,4711,1,9,0,0,0,0,0,2,2021-359701
359702,34,1102,02,636,0,,NJJL1102.pdf,3597,7509,00163044.tif,2,1,2,4,0,ORIGINAL,07,04,2021,0,0011724,YFT,4711,1,11,0,0,0,0,0,2,2021-359702
359703,34,1102,03,637,0,,NJJL1102.pdf,3597,7509,00163046.tif,2,1,2,4,0,ORIGINAL,07,04,2021,0,0011724,YFT,4711,1,2,2,0,0,0,0,1,2021-359703
359704,34,1102,04,638,0,,NJJL1102.pdf,3597,7509,00163048.tif,2,1,2,5,0,ORIGINAL,07,04,2021,0,0099238,YFT,4711,1,7,3,0,0,0,3,2,2021-359704
359705,34,1102,05,639,0,,NJJL1102.pdf,3597,7509,00163050.tif,2,1,2,4,0,ORIGINAL,07,04,2021,0,0099238,YFT,4711,1,5,3,0,0,0,3,2,2021-359705
359706,34,1102,06,640,0,,NJJL1102.pdf,3597,7509,00163052.tif,2,1,2,6,1,ORIGINAL,07,04,2021,0,0099238,YFT,4711,1,8,3,0,0,0,3,1,2021-359706
359707,34,1102,07,642,0,,NJJL1102.pdf,3597,7509,00163054.tif,2,1,3,5,0,ORIGINAL,07,04,2021,1,0011063,YFT,4711,1,15,0,3,0,0,0,2,2021-359707
359707,34,1102,07,641,0,,NJJL1102.pdf,3597,7509,00163054.tif,2,1,3,5,0,ORIGINAL,07,04,2021,1,0011063,ALBACORE TUNA,4701,2,2,0,0,0,0,0,2,2021-359707
359802,34,2103,02,741,0,,NJJL2103.pdf,3598,7897,00163060.tif,11,1,2,8,0,ORIGINAL,07,05,2021,0,0091131,YFT,4711,1,6,1,0,0,0,3,2,2021-359802
359803,34,2103,03,743,0,,NJJL2103.pdf,3598,7897,00163062.tif,11,1,1,6,0,ORIGINAL,07,05,2021,0,0091131,YFT,4711,1,2,0,0,0,0,0,2,2021-359803
359803,34,2103,03,742,0,,NJJL2103.pdf,3598,7897,00163062.tif,11,1,1,6,0,ORIGINAL,07,05,2021,0,0091131,WHITE MARLIN,2161,2,0,0,1,0,0,0,2,2021-359803
359901,34,2201,01,794,0,,NJJL2201.pdf,3599,7892,00163066.tif,9,1,3,4,0,ORIGINAL,07,05,2021,1,0290813,BFT SCHOOL,4677,1,3,3,0,0,0,0,1,2021-359901
359902,34,2201,02,795,0,,NJJL2201.pdf,3599,7892,00163068.tif,9,1,3,7,0,ORIGINAL,07,05,2021,0,0290813,YFT,4711,1,7,7,2,0,0,0,1,2021-359902
