tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
15,6,44,RI,6,01,6,6,MUD HOLE,7432,44,1540,2207,0031,12,4,2,1,2,1,1500,330,9996,2,2,8,7,0,1,0,1,0,0,0,6,4100,7120,18,180,70,2,1,1,rise2207.tif,00056690.tif,2012,0,0,0,ORIGINAL,09,14,19250,1574,0090031,009,,658,0,,Y,2,,2012-157401
15,6,09,CT,6,01,6,6,FISH TALES,7430,09,1915,1114,0884,2,1,1,2,2,1,1800,4676,4701,2,2,9,24,0,1,0,1,0,0,0,3,4000,7120,100,700,71,2,1,1,ctse1114.tif,00056716.tif,2012,1,0,0,ORIGINAL,09,22,19258,1577,0070884,007,3,115,0,,Y,1,,2012-157701
15,6,99,99,6,01,6,6,SLUICE WAY FI,7430,09,1815,2218,0418,8,1,1,2,4,6,1800,4701,9996,2,2,2,3,0,1,0,1,0,0,0,3,4118,7200,5,55,65,2,1,2,ctse2218.tif,00056722.tif,2012,0,0,0,ORIGINAL,09,21,19257,1579,0070418,007,3,124,0,,N,2,,2012-157901
15,6,10,DE,6,01,6,6,POOR MANS CANYON,6447,10,1550,1205,1599,2,1,1,2,2,1,1500,2161,4720,2,1,7,5,0,0,1,1,0,0,0,5,3752,7406,55,300,74,1,1,2,dese1205.tif,00056727.tif,2012,0,0,0,ORIGINAL,09,22,19258,1581,0051599,005,6,146,0,,Y,2,,2012-158101
15,6,10,DE,6,02,6,6,BALTIMORE CANYON,6447,10,1558,1205,1599,2,1,2,1,3,1,1530,4711,1050,2,1,7,18,0,1,1,1,0,1,0,6,3814,7350,62,900,73,2,1,1,dese1205.tif,00056728.tif,2012,0,0,0,ORIGINAL,09,22,19258,1581,0051599,005,6,145,0,,Y,2,,2012-158102
15,6,10,DE,6,03,6,6,MASSEYS CANYON,6447,10,1613,1205,1599,2,1,1,2,2,1,1600,3591,9996,2,2,3,12,0,0,1,0,1,0,0,9,3825,7420,42,144,73,2,1,1,dese1205.tif,00056730.tif,2012,0,0,0,ORIGINAL,09,22,19258,1581,0051599,005,6,144,1,Q23;Q23;,Y,2,,2012-158103
15,6,10,DE,6,04,6,6,HOT DOG,6447,10,1659,1205,1599,2,1,1,2,2,1,1645,4656,2161,2,12,8,6,0,0,1,1,0,0,0,3,3806,7417,50,240,72,2,2,2,dese1205.tif,00056732.tif,2012,0,0,0,ORIGINAL,09,22,19258,1581,0051599,005,6,143,0,,Y,2,,2012-158104
15,6,10,DE,6,05,6,6,BALTIMORE CANYON,6447,10,1714,1205,1599,2,1,2,1,3,1,1700,4711,9996,2,2,8,8,0,1,1,1,0,0,0,4,3806,7345,55,250,74,2,2,1,dese1205.tif,00056733.tif,2012,0,0,0,ORIGINAL,09,22,19258,1581,0051599,005,6,141,0,,Y,2,,2012-158105
15,6,10,DE,6,06,6,6,BALTIMORE CANYON,6447,10,1745,1205,1599,2,1,2,1,3,1,1730,2161,9996,2,2,6,8,0,0,1,1,0,0,0,6,3814,7350,65,600,74,2,1,1,dese1205.tif,00056735.tif,2012,0,0,0,ORIGINAL,09,22,19258,1581,0051599,005,6,142,0,,Y,2,,2012-158106
15,6,10,DE,6,01,6,6,WASHINGTON CANYON,6447,10,1623,2106,1599,2,1,1,2,3,1,1530,2161,9996,2,1,5,5,0,0,1,1,0,0,0,4,3727,7427,75,600,78,1,1,1,dese2106.tif,00056739.tif,2012,0,0,0,ORIGINAL,09,21,19257,1582,0051599,005,6,151,0,,Y,2,,2012-158201
