intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,length,species,batch,upprbill,lowerjaw,gender,curve,prep,recno,s_index,serrflag,sprobfld,id
6855,1,1,2012,06,16,019504,0590213,0,0,36,04,1121,1,nyjn1121.tif,00047692.tif,ORIGINAL,1854,3551,0195,9996,9996,1,9996,0,1,151,0,,2012-019504
6855,1,1,2012,06,16,019505,0590213,0,0,36,05,1121,1,nyjn1121.tif,00047694.tif,ORIGINAL,1854,3551,0195,9996,9996,1,9996,0,1,152,0,,2012-019505
6936,5,1,2012,06,01,001205,0471493,0,0,24,05,2201,1,mdjn2201.tif,00046545.tif,ORIGINAL,1857,3551,0012,9996,9996,2,9996,2,1,92,0,,2012-001205
6416,10,1,2012,06,23,026402,0290894,0,0,34,02,1117,1,njjn1117.tif,00048298.tif,ORIGINAL,1862,3551,0264,9996,9996,2,9996,0,1,108,0,,2012-026402
6416,10,1,2012,06,23,026405,0290894,0,0,34,05,1117,1,njjn1117.tif,00048304.tif,ORIGINAL,1873,3551,0264,9996,9996,2,9996,0,1,111,0,,2012-026405
6416,10,1,2012,06,23,026410,0290894,0,0,34,10,1117,1,njjn1117.tif,00048314.tif,ORIGINAL,1883,3551,0264,9996,9996,2,9996,0,1,116,0,,2012-026410
6416,10,1,2012,06,23,026421,0290894,0,0,34,21,1117,1,njjn1117.tif,00048336.tif,ORIGINAL,1884,3551,0264,9996,9996,2,9996,0,1,125,0,,2012-026421
6013,6,1,2012,06,22,026804,0251050,0,0,34,04,2204,1,njjn2204.tif,00048111.tif,ORIGINAL,1885,3551,0268,9996,9996,2,9996,0,1,97,0,,2012-026804
6855,1,1,2012,06,16,019512,0590213,0,0,36,12,1121,1,nyjn1121.tif,00047708.tif,ORIGINAL,1886,3551,0195,9996,9996,2,9996,0,1,154,0,,2012-019512
6013,6,1,2012,06,23,027602,0251050,0,0,34,02,1121,1,njjn1121.tif,00048262.tif,ORIGINAL,1903,3551,0276,9996,9996,1,9996,0,1,100,0,,2012-027602
6013,6,1,2012,06,22,026802,0251050,0,0,34,02,2204,1,njjn2204.tif,00048107.tif,ORIGINAL,1909,3551,0268,9996,9996,2,9996,0,1,96,0,,2012-026802
7370,3,1,2012,06,02,001402,0090900,0,0,34,02,1111,1,njjn1111.tif,00046559.tif,ORIGINAL,1910,3551,0014,9996,9996,1,9996,0,1,134,0,,2012-001402
6855,1,1,2012,06,16,019502,0590213,1,0,36,02,1121,1,nyjn1121.tif,00047688.tif,ORIGINAL,1912,3551,0195,9996,9996,2,9996,0,1,149,0,,2012-019502
6416,10,1,2012,06,23,026411,0290894,0,0,34,11,1117,1,njjn1117.tif,00048316.tif,ORIGINAL,1913,3551,0264,9996,9996,2,9996,0,1,117,0,,2012-026411
6416,10,1,2012,06,23,026420,0290894,0,0,34,20,1117,1,njjn1117.tif,00048334.tif,ORIGINAL,1917,3551,0264,9996,9996,2,9996,0,1,124,0,,2012-026420
6416,6,1,2012,06,03,001803,0251050,0,1,34,03,1207,1,njjn1207.tif,00046595.tif,ORIGINAL,1918,3551,0018,9996,9996,1,9996,0,1,105,0,,2012-001803
6855,1,1,2012,06,16,019517,0590213,0,0,36,17,1121,1,nyjn1121.tif,00047718.tif,ORIGINAL,1926,3551,0195,9996,9996,1,9996,0,1,155,0,,2012-019517
6757,4,1,2012,06,15,015201,1030135,0,0,36,01,2105,1,nyjn2105.tif,00047405.tif,ORIGINAL,1941,3551,0152,9996,9996,1,9996,0,1,138,0,,2012-015201
6416,10,1,2012,06,23,026403,0290894,0,0,34,03,1117,1,njjn1117.tif,00048300.tif,ORIGINAL,1942,3551,0264,9996,9996,2,9996,0,1,109,0,,2012-026403
6855,1,1,2012,06,16,019520,0590213,0,0,36,20,1121,1,nyjn1121.tif,00047724.tif,ORIGINAL,1945,3551,0195,9996,9996,2,9996,0,1,158,0,,2012-019520
6855,1,1,2012,06,16,019518,0590213,0,0,36,18,1121,1,nyjn1121.tif,00047720.tif,ORIGINAL,1954,3551,0195,9996,9996,1,9996,0,1,156,0,,2012-019518
6013,6,1,2012,06,23,027604,0251050,0,0,34,04,1121,1,njjn1121.tif,00048266.tif,ORIGINAL,1966,3551,0276,9996,9996,1,9996,0,1,101,0,,2012-027604
7361,2,1,2012,06,01,002101,0011063,0,0,34,01,2106,1,njjn2106.tif,00046608.tif,ORIGINAL,1983,3551,0021,9996,9996,2,9996,0,1,132,0,,2012-002101
6855,1,1,2012,06,16,019501,0590213,0,0,36,01,1121,1,nyjn1121.tif,00047686.tif,ORIGINAL,1984,3551,0195,9996,9996,1,9996,0,1,148,0,,2012-019501
6855,1,1,2012,06,16,019523,0590213,0,0,36,23,1121,1,nyjn1121.tif,00047730.tif,ORIGINAL,1984,3551,0195,9996,9996,2,9996,0,1,160,0,,2012-019523
6013,6,1,2012,06,23,027605,0251050,0,0,34,05,1121,1,njjn1121.tif,00048268.tif,ORIGINAL,1985,3551,0276,9996,9996,2,9996,0,1,102,0,,2012-027605
6416,10,1,2012,06,24,027205,0290894,0,0,34,05,1122,1,njjn1122.tif,00048174.tif,ORIGINAL,1998,3551,0272,9996,9996,2,9996,0,1,129,0,,2012-027205
6416,10,1,2012,06,24,027207,0290894,0,0,34,07,1122,1,njjn1122.tif,00048178.tif,ORIGINAL,2003,3551,0272,9996,9996,2,9996,0,1,130,0,,2012-027207
6013,6,1,2012,06,23,027606,0251050,0,0,34,06,1121,1,njjn1121.tif,00048270.tif,ORIGINAL,2011,3551,0276,9996,9996,2,9996,0,1,103,0,,2012-027606
6416,10,1,2012,06,23,026406,0290894,0,0,34,06,1117,1,njjn1117.tif,00048306.tif,ORIGINAL,2025,3551,0264,9996,9996,2,9996,0,1,112,0,,2012-026406
