intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,filestat,c_index,cerrflag,cprobfld,id
6447,3,1,2011,06,05,004310,0470853,1,0,24,10,1201,1,mdjn1201.tif,00035212.tif,SWORDFISH,4328,0043,1,1,1,0,0,0,0,ORIGINAL,98,0,,2011-004310
6447,3,1,2011,06,05,004310,0470853,1,0,24,10,1201,1,mdjn1201.tif,00035212.tif,SKIPJACK TUNA,4661,0043,5,3,3,0,0,0,0,ORIGINAL,99,0,,2011-004310
6447,3,1,2011,06,05,004310,0470853,1,0,24,10,1201,1,mdjn1201.tif,00035212.tif,YFT,4711,0043,3,1,1,0,0,0,0,ORIGINAL,100,0,,2011-004310
6447,4,3,2011,06,19,016402,0470856,0,0,24,02,1107,2,mdjn1107.tif,00035802.tif,BFT SCHOOL,4677,0164,1,1,0,0,0,0,0,ORIGINAL,101,0,,2011-016402
6447,4,3,2011,06,19,016402,0470856,0,0,24,02,1107,2,mdjn1107.tif,00035802.tif,LITTLE TUNNY,4681,0164,2,1,0,0,0,0,0,ORIGINAL,102,0,,2011-016402
6447,4,3,2011,06,19,016404,0470856,0,0,24,04,1107,2,mdjn1107.tif,00035805.tif,DOLPHIN,1050,0164,2,1,0,0,0,0,0,ORIGINAL,103,0,,2011-016404
6447,4,3,2011,06,19,016404,0470856,0,0,24,04,1107,2,mdjn1107.tif,00035805.tif,SHORTFIN MAKO SHARK,3551,0164,3,0,0,1,0,0,0,ORIGINAL,104,0,,2011-016404
6447,4,3,2011,06,19,016404,0470856,0,0,24,04,1107,2,mdjn1107.tif,00035805.tif,YFT,4711,0164,1,5,0,0,0,0,0,ORIGINAL,105,0,,2011-016404
6447,4,3,2011,06,19,016405,0470856,0,0,24,05,1107,2,mdjn1107.tif,00035807.tif,SANDBAR SHARK,4821,0164,2,0,0,1,0,0,0,ORIGINAL,106,0,,2011-016405
6447,4,3,2011,06,19,016405,0470856,0,0,24,05,1107,2,mdjn1107.tif,00035807.tif,DUSKY SHARK,4841,0164,1,0,0,2,0,0,0,ORIGINAL,107,0,,2011-016405
6447,4,3,2011,06,19,016406,0470856,0,0,24,06,1107,2,mdjn1107.tif,00035809.tif,BFT SCHOOL,4677,0164,1,1,0,0,0,0,0,ORIGINAL,108,0,,2011-016406
6447,4,3,2011,06,19,016407,0470856,0,0,24,07,1107,2,mdjn1107.tif,00035811.tif,DOLPHIN,1050,0164,2,0,0,1,0,0,0,ORIGINAL,109,0,,2011-016407
6447,4,3,2011,06,19,016407,0470856,0,0,24,07,1107,2,mdjn1107.tif,00035811.tif,YFT,4711,0164,1,2,0,0,0,0,0,ORIGINAL,110,0,,2011-016407
6447,4,3,2011,06,19,016408,0470856,0,0,24,08,1107,2,mdjn1107.tif,00035813.tif,DOLPHIN,1050,0164,2,1,0,0,0,0,0,ORIGINAL,111,0,,2011-016408
6447,4,3,2011,06,19,016408,0470856,0,0,24,08,1107,2,mdjn1107.tif,00035813.tif,YFT,4711,0164,1,2,0,0,0,0,0,ORIGINAL,112,0,,2011-016408
6447,4,3,2011,06,19,016409,0470856,0,0,24,09,1107,2,mdjn1107.tif,00035815.tif,BLUE MARLIN,2171,0164,2,0,0,1,0,0,0,ORIGINAL,113,0,,2011-016409
6447,4,3,2011,06,19,016409,0470856,0,0,24,09,1107,2,mdjn1107.tif,00035815.tif,YFT,4711,0164,1,4,0,2,0,0,0,ORIGINAL,114,0,,2011-016409
6447,4,3,2011,06,19,016410,0470856,0,0,24,10,1107,2,mdjn1107.tif,00035817.tif,WHITE MARLIN,2161,0164,1,0,0,1,0,0,0,ORIGINAL,115,0,,2011-016410
6447,3,1,2011,06,20,020401,0470853,0,0,24,01,2206,2,mdjn2206.tif,00036117.tif,BFT SCHOOL,4677,0204,1,1,0,5,0,0,0,ORIGINAL,116,0,,2011-020401
6447,3,1,2011,06,20,020402,0470853,0,0,24,02,2206,2,mdjn2206.tif,00036119.tif,DOLPHIN,1050,0204,2,1,0,0,0,0,0,ORIGINAL,117,0,,2011-020402
6447,3,1,2011,06,20,020402,0470853,0,0,24,02,2206,2,mdjn2206.tif,00036119.tif,BFT SCHOOL,4677,0204,1,1,0,12,0,0,0,ORIGINAL,118,0,,2011-020402
