tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,speceis,q11a,id
41,36,02,1108,119,0,,7466,4,1,2014,10,13,1030372,1,0,2,NYOC1108.pdf,00081545.tif,ORIGINAL,STRIPE,4180,4139,2,0,0,2,0,0,0,,4,2014-413902
41,36,02,1108,120,0,,7466,4,1,2014,10,13,1030372,1,0,2,NYOC1108.pdf,00081545.tif,ORIGINAL,LITTLE,4681,4139,1,0,0,6,0,0,0,,4,2014-413902
41,36,03,1108,121,0,,7466,4,1,2014,10,13,1030135,0,0,2,NYOC1108.pdf,00081547.tif,ORIGINAL,BLUEFI,230,4139,2,0,0,5,0,0,0,,4,2014-413903
41,36,03,1108,122,0,,7466,4,1,2014,10,13,1030135,0,0,2,NYOC1108.pdf,00081547.tif,ORIGINAL,STRIPE,4180,4139,3,0,0,3,0,0,0,,4,2014-413903
41,36,03,1108,123,0,,7466,4,1,2014,10,13,1030135,0,0,2,NYOC1108.pdf,00081547.tif,ORIGINAL,LITTLE,4681,4139,1,0,0,9,0,0,0,,4,2014-413903
41,36,04,1108,124,0,,7466,4,1,2014,10,13,1030372,0,0,2,NYOC1108.pdf,00081549.tif,ORIGINAL,LITTLE,4681,4139,1,0,0,4,0,0,0,,4,2014-413904
41,36,05,1108,125,0,,7466,4,1,2014,10,13,1030085,0,0,2,NYOC1108.pdf,00081551.tif,ORIGINAL,BLUEFI,230,4139,3,0,0,4,0,0,0,,4,2014-413905
41,36,05,1108,126,0,,7466,4,1,2014,10,13,1030085,0,0,2,NYOC1108.pdf,00081551.tif,ORIGINAL,STRIPE,4180,4139,2,0,0,20,0,0,0,,4,2014-413905
41,36,05,1108,127,0,,7466,4,1,2014,10,13,1030085,0,0,2,NYOC1108.pdf,00081551.tif,ORIGINAL,LITTLE,4681,4139,1,0,0,12,0,0,0,,4,2014-413905
41,36,06,1108,128,0,,7466,4,1,2014,10,13,1030372,0,0,2,NYOC1108.pdf,00081553.tif,ORIGINAL,BLUEFI,230,4139,2,1,1,4,0,0,0,,4,2014-413906
41,36,06,1108,129,0,,7466,4,1,2014,10,13,1030372,0,0,2,NYOC1108.pdf,00081553.tif,ORIGINAL,LITTLE,4681,4139,1,0,0,3,0,0,0,,4,2014-413906
41,36,07,1108,130,0,,7466,4,1,2014,10,13,1030037,0,0,2,NYOC1108.pdf,00081555.tif,ORIGINAL,BLUEFI,230,4139,3,4,4,0,0,0,0,,3,2014-413907
41,36,07,1108,131,0,,7466,4,1,2014,10,13,1030037,0,0,2,NYOC1108.pdf,00081555.tif,ORIGINAL,STRIPE,4180,4139,2,6,6,0,0,0,0,,3,2014-413907
41,36,08,1108,132,0,,7466,4,1,2014,10,13,1030135,0,0,2,NYOC1108.pdf,00081557.tif,ORIGINAL,DOLPHI,1050,4139,1,27,27,0,0,0,0,,2,2014-413908
41,36,09,1108,133,0,,7466,4,1,2014,10,13,1030085,0,0,2,NYOC1108.pdf,00081559.tif,ORIGINAL,BLUEFI,230,4139,2,0,0,4,0,0,0,,4,2014-413909
