tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,proxy,contact,catch,faxno,tifno,year,enterr,interr,permismt,month,day,intdate,tracker,batch,site_no,county,filestat,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,24,MD,6,06,6,6,BALTIMORE CANYON,6936,24,1850,2103,0856,4,3,1,2,2,1,1850,4711,9996,2,2,7,8,0,0,1,1,0,0,0,3,3814,7350,67,600,74,2,1,1,mdjn2103.tif,00035796.tif,2011,0,0,0,06,16,18794,016606,0166,0470856,047,ORIGINAL,7,216,0,,Y,2,2011-016606
6,24,MD,6,01,6,6,POOR MANS CANYON,7326,24,1645,2108,0938,7,1,2,1,3,1,1630,4711,4670,2,2,13,8,0,1,1,1,0,0,0,6,3752,7406,50,420,69,2,1,2,mdjn2108.tif,00035820.tif,2011,0,1,0,06,16,18794,016701,0167,0470938,047,REVISED,7,223,1,Q19;,Y,2,2011-016701
T501,24,MD,OCEAN CITY SHARK TOURNAMENT,02,6,6,HAMBONE,7326,24,1715,2108,0938,7,1,1,2,1,2,1700,3551,9996,1,1,3,6,0,0,1,0,1,0,0,3,3811,7424,40,120,71,2,1,2,mdjn2108.tif,00035821.tif,2011,0,0,0,06,16,18794,016702,0167,0470938,047,ORIGINAL,7,796,0,,N,2,2011-016702
6,34,NJ,6,01,6,6,BALTIMORE CANYON,6708,34,1620,1103,1131,11,1,1,2,2,1,1515,4711,9996,2,12,6,5,0,0,1,1,0,0,0,5,3820,7345,83,500,72,2,1,1,njjn1103.tif,00035825.tif,2011,0,0,0,06,18,18796,016801,0168,0091131,009,ORIGINAL,5,335,0,,Y,1,2011-016801
T306,34,NJ,JIMS SHARK TOURNAMENT,02,6,6,MISTY BLUE,6708,34,1730,1103,0051,11,1,1,2,2,1,1700,3551,9996,1,2,3,8,0,0,1,0,1,0,0,2,3837,7418,28,130,72,2,1,1,njjn1103.tif,00035827.tif,2011,0,0,0,06,18,18796,016802,0168,0090051,009,ORIGINAL,5,770,0,,Y,2,2011-016802
6,34,NJ,6,03,6,6,POOR MANS CANYON,6708,34,1806,1103,1131,11,1,1,2,2,1,1735,2161,2171,2,12,5,7,0,1,1,1,0,0,0,6,3752,7406,86,1000,72,2,1,1,njjn1103.tif,00035829.tif,2011,0,0,0,06,18,18796,016803,0168,0091131,009,ORIGINAL,5,338,0,,Y,1,2011-016803
6,12,FL,6,04,6,6,WILMINGTON CANYON,6708,34,1825,1103,1131,11,1,1,2,2,2,1800,4711,9996,2,2,8,9,0,1,1,1,0,0,0,2,3824,7327,70,400,72,2,1,1,njjn1103.tif,00035831.tif,2011,0,0,0,06,18,18796,016804,0168,0091131,009,ORIGINAL,5,337,0,,N,1,2011-016804
6,34,NJ,6,05,6,6,BALTIMORE CANYON,6708,34,1835,1103,1131,11,1,1,2,2,1,1745,4711,2161,2,12,8,6,0,1,1,1,0,0,0,8,3820,7345,65,600,72,2,1,1,njjn1103.tif,00035833.tif,2011,0,0,0,06,18,18796,016805,0168,0091131,009,ORIGINAL,5,336,0,,Y,1,2011-016805
6,34,NJ,6,06,6,6,BALTIMORE CANYON,6708,34,1905,1103,1131,11,1,1,2,2,1,1750,4711,9996,2,12,8,5,0,0,1,1,0,0,0,6,3820,7345,74,1100,73,2,1,1,njjn1103.tif,00035835.tif,2011,0,0,0,06,18,18796,016806,0168,0091131,009,ORIGINAL,5,333,0,,Y,2,2011-016806
6,34,NJ,6,07,6,6,POOR MANS CANYON,6708,34,1910,1103,1131,11,1,1,2,2,1,1800,4711,9996,2,2,8,9,0,1,1,1,0,0,0,5,3752,7406,58,400,72,2,1,1,njjn1103.tif,00035837.tif,2011,1,0,0,06,18,18796,016807,0168,0091131,009,ORIGINAL,5,334,0,,Y,2,2011-016807
