tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,alive,othlp,species,batch,row,kept,observe,dead,sell,weighed,q11a,id
050802,10,02,2201,103,0,,6783,2,1,4,2019,07,11,0051599,0,0,2,DEJL2201.pdf,00135321.tif,ORIGINAL,0,KING MACKEREL,1940,0508,1,1,1,0,0,0,2,2019-050802
050802,10,02,2201,104,0,,6783,2,1,4,2019,07,11,0051599,0,0,2,DEJL2201.pdf,00135321.tif,ORIGINAL,0,BFT LARGE SCHOOL,4678,0508,3,1,1,0,0,0,2,2019-050802
050803,10,03,2201,105,0,,6783,2,1,6,2019,07,11,0051599,0,0,2,DEJL2201.pdf,00135323.tif,ORIGINAL,0,BLUEFISH,230,0508,2,1,0,0,0,0,2,2019-050803
050803,10,03,2201,106,0,,6783,2,1,6,2019,07,11,0051599,0,0,2,DEJL2201.pdf,00135323.tif,ORIGINAL,0,DOLPHIN,1050,0508,1,1,0,0,0,0,2,2019-050803
050803,10,03,2201,107,0,,6783,2,1,6,2019,07,11,0051599,0,0,2,DEJL2201.pdf,00135323.tif,ORIGINAL,3,LITTLE TUNNY,4681,0508,3,0,0,0,0,0,2,2019-050803
050804,10,04,2201,108,0,,6783,2,1,6,2019,07,11,0051599,0,0,1,DEJL2201.pdf,00135325.tif,ORIGINAL,0,DOLPHIN,1050,0508,2,1,1,0,0,0,3,2019-050804
050804,10,04,2201,109,0,,6783,2,1,6,2019,07,11,0051599,0,0,1,DEJL2201.pdf,00135325.tif,ORIGINAL,0,BLUELINE TILEFISH,4440,0508,3,24,24,0,0,0,3,2019-050804
050804,10,04,2201,110,0,,6783,2,1,6,2019,07,11,0051599,0,0,1,DEJL2201.pdf,00135325.tif,ORIGINAL,0,GOLDEN TILEFISH,4467,0508,4,1,1,0,0,0,3,2019-050804
050804,10,04,2201,111,0,,6783,2,1,6,2019,07,11,0051599,0,0,1,DEJL2201.pdf,00135325.tif,ORIGINAL,0,YFT,4711,0508,1,1,1,0,0,0,3,2019-050804
050805,10,05,2201,112,0,,6783,2,1,4,2019,07,11,0051599,0,0,2,DEJL2201.pdf,00135327.tif,ORIGINAL,1,WHITE MARLIN,2161,0508,2,0,0,0,0,0,3,2019-050805
050805,10,05,2201,113,0,,6783,2,1,4,2019,07,11,0051599,0,0,2,DEJL2201.pdf,00135327.tif,ORIGINAL,0,YFT,4711,0508,1,2,2,0,0,0,3,2019-050805
050806,10,06,2201,114,0,,6783,2,1,5,2019,07,11,0051599,0,0,1,DEJL2201.pdf,00135329.tif,ORIGINAL,0,DOLPHIN,1050,0508,1,25,25,0,0,0,2,2019-050806
050806,10,06,2201,115,0,,6783,2,1,5,2019,07,11,0051599,0,0,1,DEJL2201.pdf,00135329.tif,ORIGINAL,2,WHITE MARLIN,2161,0508,2,0,0,0,0,0,2,2019-050806
061101,10,01,2202,116,0,,6783,2,1,3,2019,07,17,0051599,0,0,1,DEJL2202.pdf,00136127.tif,ORIGINAL,0,DOLPHIN,1050,0611,2,2,2,0,0,0,2,2019-061101
061101,10,01,2202,117,0,,6783,2,1,3,2019,07,17,0051599,0,0,1,DEJL2202.pdf,00136127.tif,ORIGINAL,0,YFT,4711,0611,1,1,1,0,0,0,2,2019-061101
061102,10,02,2202,118,0,,6783,2,1,2,2019,07,17,0051599,0,0,1,DEJL2202.pdf,00136129.tif,ORIGINAL,6,DOLPHIN,1050,0611,1,9,9,0,0,0,2,2019-061102
053301,10,01,2203,119,0,,6783,1,1,6,2019,07,12,0050013,0,0,1,DEJL2203.pdf,00135530.tif,ORIGINAL,0,DOLPHIN,1050,0533,1,4,4,0,0,0,3,2019-053301
074501,10,01,2204,120,0,,7681,2,1,4,2019,07,25,0051599,0,0,2,DEJL2204.pdf,00136842.tif,ORIGINAL,0,DOLPHIN,1050,0745,1,3,3,0,0,0,2,2019-074501
047801,10,01,2207,121,0,,7681,2,1,4,2019,07,10,0051599,0,0,2,DEJL2207.pdf,00135155.tif,ORIGINAL,1,YFT,4711,0478,1,3,3,0,0,0,2,2019-047801
047802,10,02,2207,122,0,,7681,2,1,6,2019,07,10,0051599,0,0,2,DEJL2207.pdf,00135157.tif,ORIGINAL,0,DOLPHIN,1050,0478,2,1,1,0,0,0,3,2019-047802
047802,10,02,2207,123,0,,7681,2,1,6,2019,07,10,0051599,0,0,2,DEJL2207.pdf,00135157.tif,ORIGINAL,0,YFT,4711,0478,1,9,9,0,0,0,3,2019-047802
047803,10,03,2207,124,0,,7681,2,1,5,2019,07,10,0051599,0,0,1,DEJL2207.pdf,00135159.tif,ORIGINAL,1,WHITE MARLIN,2161,0478,2,0,0,0,0,0,3,2019-047803
