stcode,control,docno,c_index,cerrflag,cprobfld,faxno,batch,intcode,tifno,cluster,sitetype,q11a,q23,filestat,month,day,tracker,year,enterr,interr,site_no,othlp,species,row,kept,observe,alive,dead,sell,weighed,measur,id
24,1102,01,84,0,,MDJN1102.pdf,2856,6936,00160078.tif,2,1,3,5,REVISED,06,06,285601,2021,0,1,0470022,BLUELINE TILEFISH,4440,3,15,0,0,0,0,0,2,2021-285601
24,1102,01,86,0,,MDJN1102.pdf,2856,6936,00160078.tif,2,1,3,5,REVISED,06,06,285601,2021,0,1,0470022,BLUE SHARK,4931,4,0,0,1,0,0,0,2,2021-285601
24,1102,02,87,0,,MDJN1102.pdf,2856,6936,00160080.tif,2,1,3,3,ORIGINAL,06,06,285602,2021,0,0,0470022,SHORTFIN MAKO SHARK,3551,1,0,0,1,0,0,0,2,2021-285602
24,1106,01,99,0,,MDJN1106.pdf,2857,6555,00160084.tif,4,3,2,2,ORIGINAL,06,05,285701,2021,0,0,0470856,BFT SCHOOL,4677,1,2,0,0,0,0,0,2,2021-285701
24,1106,02,100,0,,MDJN1106.pdf,2857,6555,00160086.tif,4,3,2,4,ORIGINAL,06,05,285702,2021,0,0,0470856,BFT SCHOOL,4677,1,2,0,1,0,0,0,2,2021-285702
24,1106,03,101,0,,MDJN1106.pdf,2857,6555,00160088.tif,4,3,2,4,ORIGINAL,06,05,285703,2021,0,0,0470856,DUSKY SHARK,4841,1,0,0,1,0,0,0,2,2021-285703
24,1106,04,103,0,,MDJN1106.pdf,2857,6555,00160090.tif,4,3,2,4,ORIGINAL,06,05,285704,2021,0,0,0470856,BFT SCHOOL,4677,1,2,0,0,0,0,0,2,2021-285704
24,1106,04,102,0,,MDJN1106.pdf,2857,6555,00160090.tif,4,3,2,4,ORIGINAL,06,05,285704,2021,0,0,0470856,BLACK SEA BASS,3350,2,11,0,0,0,0,0,2,2021-285704
24,1106,05,104,0,,MDJN1106.pdf,2857,6555,00160092.tif,4,3,2,5,ORIGINAL,06,05,285705,2021,0,0,0470856,BFT SCHOOL,4677,1,1,0,2,0,0,0,2,2021-285705
24,1106,06,105,0,,MDJN1106.pdf,2857,6555,00160094.tif,4,3,3,6,ORIGINAL,06,05,285706,2021,0,0,0470856,BFT SCHOOL,4677,1,3,0,0,0,0,0,2,2021-285706
24,1106,07,106,0,,MDJN1106.pdf,2857,6555,00160096.tif,4,3,2,5,ORIGINAL,06,05,285707,2021,0,0,0470856,BFT SCHOOL,4677,1,2,0,0,0,0,0,2,2021-285707
24,1106,08,107,0,,MDJN1106.pdf,2857,6555,00160098.tif,4,3,2,3,ORIGINAL,06,05,285708,2021,0,0,0470856,BLUE SHARK,4931,1,0,0,1,0,0,0,2,2021-285708
24,1106,10,109,0,,MDJN1106.pdf,2857,6555,00160101.tif,4,3,2,5,ORIGINAL,06,05,285710,2021,0,0,0470856,BFT SCHOOL,4677,1,2,0,0,0,0,0,2,2021-285710
24,1106,10,108,0,,MDJN1106.pdf,2857,6555,00160101.tif,4,3,2,5,ORIGINAL,06,05,285710,2021,0,0,0470856,BLACK SEA BASS,3350,2,12,0,20,0,0,0,2,2021-285710
24,1106,11,110,0,,MDJN1106.pdf,2857,6555,00160103.tif,4,3,2,4,ORIGINAL,06,05,285711,2021,0,0,0470856,BFT SCHOOL,4677,1,2,0,1,0,0,0,2,2021-285711
24,1201,01,113,0,,MDJN1201.pdf,2858,6447,00160107.tif,3,1,3,6,ORIGINAL,06,05,285801,2021,0,0,0470853,BFT SCHOOL,4677,1,3,3,0,0,0,0,2,2021-285801
24,1201,02,114,0,,MDJN1201.pdf,2858,6447,00160109.tif,3,1,2,6,ORIGINAL,06,05,285802,2021,0,0,0470853,COMMON THRESHER SHARK,3531,1,1,0,0,0,0,1,2,2021-285802
24,1201,03,115,0,,MDJN1201.pdf,2858,6447,00160111.tif,3,1,3,6,ORIGINAL,06,05,285803,2021,0,0,0470853,BFT SCHOOL,4677,1,3,0,0,0,0,0,2,2021-285803
24,1201,04,116,0,,MDJN1201.pdf,2858,6447,00160113.tif,3,1,3,6,ORIGINAL,06,05,285804,2021,0,0,0470853,BFT SCHOOL,4677,1,3,0,7,0,0,0,2,2021-285804
24,1201,06,117,0,,MDJN1201.pdf,2858,6447,00160116.tif,3,1,3,6,ORIGINAL,06,05,285806,2021,0,0,0470853,BFT SCHOOL,4677,1,3,0,10,0,0,0,2,2021-285806
24,1201,07,118,0,,MDJN1201.pdf,2858,6447,00160118.tif,3,1,3,4,ORIGINAL,06,05,285807,2021,0,0,0470853,BLACK SEA BASS,3350,1,20,0,0,0,0,0,2,2021-285807
24,1201,08,119,0,,MDJN1201.pdf,2858,6447,00160120.tif,3,1,3,6,ORIGINAL,06,05,285808,2021,0,0,0470853,BFT SCHOOL,4677,1,3,0,0,0,0,0,2,2021-285808
24,1201,09,120,0,,MDJN1201.pdf,2858,6447,00160122.tif,3,1,3,6,ORIGINAL,06,05,285809,2021,0,0,0470853,BFT SCHOOL,4677,1,3,0,6,0,0,0,2,2021-285809
24,1201,09,121,0,,MDJN1201.pdf,2858,6447,00160122.tif,3,1,3,6,ORIGINAL,06,05,285809,2021,0,0,0470853,YFT,4711,2,1,0,0,0,0,0,2,2021-285809
