tracker,faxno,batch,ppstfips,tcode,location,stcode,returnt,siteno,intcode,hook,inttime,tifno,intdate,cluster,control,sitetype,prim_op,todayt,category,perm_ver,ppstate,prim1,prim2,tourn,tourn_name,hook_oth,lines,fhours,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,proxy,catch,interr,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,contact,filestat,docno,month,day,year,enterr,permismt,county,site_no,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
358804,MDJL1109.pdf,3588,24,6300,BALTIMORE CANYON,24,1715,1493,6936,2,1745,00162916.tif,07/04/2021,5,1109,1,2,2,3,1,MD,4711,9996,1,CANYON KICKOFF,6,10,7,6,5,3814,7350,65,1000,73,1,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,04,07,04,2021,0,0,047,0471493,6,1031,0,,Y,2,2021-358804
358805,MDJL1109.pdf,3588,24,6,WASHINGTON CANYON,24,1730,1493,6936,1,1800,00162918.tif,07/04/2021,5,1109,1,1,2,2,1,MD,4711,9996,2,6,6,10,7,6,4,3727,7427,66,600,72,2,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,05,07,04,2021,0,0,047,0471493,6,287,0,,Y,2,2021-358805
358806,MDJL1109.pdf,3588,37,6,WASHINGTON CANYON,24,1800,1493,6936,12,1825,00162920.tif,07/04/2021,5,1109,1,1,2,2,1,NC,4711,9996,2,6,6,7,8,6,5,3727,7427,62,600,72,2,2,0,0,1,1,1,0,0,0,0,1,ORIGINAL,06,07,04,2021,0,0,047,0471493,6,283,0,,N,2,2021-358806
358807,MDJL1109.pdf,3588,13,6300,WASHINGTON CANYON,24,1800,1493,6936,1,1840,00162921.tif,07/04/2021,5,1109,1,1,2,2,6,GA,2161,2171,1,CANYON KICKOFF,6,4,7,6,7,3727,7427,75,6000,72,1,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,07,07,04,2021,0,0,047,0471493,6,1033,0,,N,2,2021-358807
358808,MDJL1109.pdf,3588,10,6300,POOR MANS CANYON,24,1800,1493,6936,2,1850,00162923.tif,07/04/2021,5,1109,1,1,2,2,1,DE,4711,9996,1,CANYON KICKOFF,6,10,8,6,6,3752,7406,53,600,72,1,1,0,0,1,1,1,0,0,0,0,2,ORIGINAL,08,07,04,2021,0,0,047,0471493,6,1034,0,,Y,2,2021-358808
358809,MDJL1109.pdf,3588,24,6300,WILMINGTON CANYON,24,1845,1493,6936,1,1910,00162925.tif,07/04/2021,5,1109,1,1,2,2,1,MD,2161,9996,1,CANYON KICKOFF,6,6,7,6,6,3824,7327,75,600,71,1,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,09,07,04,2021,0,0,047,0471493,6,1032,0,,Y,2,2021-358809
358901,MDJL2111.pdf,3589,24,6,FINGERS,24,1425,0856,6555,1,1430,00162929.tif,07/05/2021,4,2111,3,1,2,2,1,MD,3591,9996,2,6,6,3,6,6,2,3812,7436,40,160,77,2,1,0,0,1,0,0,1,0,0,0,1,ORIGINAL,01,07,05,2021,0,0,047,0470856,6,377,0,,Y,2,2021-358901
358902,MDJL2111.pdf,3589,10,6,BALTIMORE CANYON,24,1510,0856,6555,2,1515,00162931.tif,07/05/2021,4,2111,3,1,2,2,1,DE,4711,9996,2,6,6,6,7,6,4,3814,7450,60,600,75,1,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,02,07,05,2021,0,0,047,0470856,6,379,0,,Y,2,2021-358902
358903,MDJL2111.pdf,3589,10,6,BALTIMORE CANYON 100 FATHOM,24,1545,0856,6555,2,1550,00162933.tif,07/05/2021,4,2111,3,1,2,2,1,DE,4711,9996,2,6,6,8,4,6,2,3814,7450,60,1000,71,1,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,03,07,05,2021,0,0,047,0470856,6,376,0,,Y,2,2021-358903
358904,MDJL2111.pdf,3589,24,6,WASHINGTON CANYON,24,1550,0856,6555,2,1555,00162935.tif,07/05/2021,4,2111,3,1,2,2,1,MD,4711,9996,2,6,6,6,6,6,4,3729,7430,62,800,72,2,1,0,0,0,1,1,0,0,0,0,2,ORIGINAL,04,07,05,2021,0,0,047,0470856,6,382,0,,Y,2,2021-358904
358905,MDJL2111.pdf,3589,24,6,HOT DOG,24,1555,0856,6555,1,1600,00162937.tif,07/05/2021,4,2111,3,1,2,2,1,MD,4711,9996,2,6,6,6,10,6,4,3806,7417,50,400,73,2,1,0,0,1,1,1,0,1,0,0,1,ORIGINAL,05,07,05,2021,0,0,047,0470856,6,380,0,,Y,2,2021-358905
358906,MDJL2111.pdf,3589,51,6,HOT DOG,24,1630,0856,6555,2,1635,00162939.tif,07/05/2021,4,2111,3,1,2,2,2,VA,4711,9996,2,6,6,6,6,6,1,3806,7417,50,600,72,2,2,1,0,1,1,1,0,0,0,0,1,ORIGINAL,06,07,05,2021,0,0,047,0470856,6,381,0,,Y,2,2021-358906
358907,MDJL2111.pdf,3589,24,6,POOR MANS CANYON,24,1645,0856,6555,1,1650,00162940.tif,07/05/2021,4,2111,3,1,2,2,1,MD,4711,9996,2,6,6,5,7,6,2,3751,7406,60,1800,71,2,2,1,0,1,1,1,0,0,0,0,1,ORIGINAL,07,07,05,2021,1,0,047,0470856,6,374,0,,Y,2,2021-358907
358908,MDJL2111.pdf,3589,24,6,7,24,1655,0856,6555,12,1700,00162941.tif,07/05/2021,4,2111,3,1,2,2,1,MD,4711,9996,2,6,6,8,8,6,3,9998,9998,50,1200,98,2,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,08,07,05,2021,0,0,047,0470856,6,375,0,,Y,2,2021-358908
358909,MDJL2111.pdf,3589,10,6,WASHINGTON CANYON,24,1700,0856,6555,2,1705,00162943.tif,07/05/2021,4,2111,3,1,2,2,1,DE,4711,2161,2,6,6,9,8,6,3,3729,7430,60,600,72,1,1,1,0,1,1,1,0,0,0,0,1,ORIGINAL,09,07,05,2021,1,0,047,0470856,6,378,0,,Y,2,2021-358909
