tracker,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,filestat,c_index,cerrflag,cprobfld,id
15,6936,3,1,2011,10,09,0470853,0,0,24,0,1207,2,mdoc1207.tif,00045237.tif,LITTLE TUNNY,4681,1548,4,6,0,0,0,0,0,ORIGINAL,84,0,,2011-154802
15,6936,3,1,2011,10,09,0470853,0,0,24,0,1207,2,mdoc1207.tif,00045237.tif,YFT,4711,1548,1,9,0,0,0,0,0,ORIGINAL,85,0,,2011-154802
15,6936,3,1,2011,10,09,0470853,0,0,24,0,1207,2,mdoc1207.tif,00045237.tif,WAHOO,4720,1548,2,2,0,0,0,0,0,ORIGINAL,86,0,,2011-154802
15,6936,3,1,2011,10,09,0470853,0,0,24,0,1207,2,mdoc1207.tif,00045239.tif,BLACK SEA BAS,3350,1548,2,0,0,2,0,0,0,ORIGINAL,87,0,,2011-154803
15,6936,3,1,2011,10,09,0470853,0,0,24,0,1207,2,mdoc1207.tif,00045239.tif,SANDBAR SHARK,4821,1548,1,0,0,1,0,0,0,ORIGINAL,88,0,,2011-154803
15,6936,5,1,2011,10,07,0471493,0,0,24,0,2114,2,mdoc2114.tif,00045243.tif,DOLPHIN,1050,1550,2,1,0,0,0,0,0,ORIGINAL,89,0,,2011-155001
15,6936,5,1,2011,10,07,0471493,0,0,24,0,2114,2,mdoc2114.tif,00045243.tif,WHITE MARLIN,2161,1550,1,0,0,3,0,0,0,ORIGINAL,90,0,,2011-155001
15,6936,5,1,2011,10,07,0471493,0,0,24,0,2114,2,mdoc2114.tif,00045243.tif,BLACKFIN TUNA,4641,1550,3,1,0,0,0,0,0,ORIGINAL,91,0,,2011-155001
15,6936,5,1,2011,10,07,0471493,0,0,24,0,2114,2,mdoc2114.tif,00045245.tif,DOLPHIN,1050,1550,2,3,0,0,0,0,0,ORIGINAL,92,0,,2011-155002
15,6936,5,1,2011,10,07,0471493,0,0,24,0,2114,2,mdoc2114.tif,00045245.tif,YFT,4711,1550,1,1,0,0,0,0,0,ORIGINAL,93,0,,2011-155002
15,6936,5,1,2011,10,07,0471493,0,0,24,0,2114,2,mdoc2114.tif,00045247.tif,DOLPHIN,1050,1550,3,1,0,0,0,0,0,ORIGINAL,94,0,,2011-155003
15,6936,5,1,2011,10,07,0471493,0,0,24,0,2114,2,mdoc2114.tif,00045247.tif,WHITE MARLIN,2161,1550,1,0,0,2,0,0,0,ORIGINAL,95,0,,2011-155003
15,6936,5,1,2011,10,07,0471493,0,0,24,0,2114,2,mdoc2114.tif,00045247.tif,SKIPJACK TUNA,4661,1550,4,0,0,3,0,0,0,ORIGINAL,96,0,,2011-155003
15,6936,5,1,2011,10,07,0471493,0,0,24,0,2114,2,mdoc2114.tif,00045247.tif,YFT,4711,1550,2,2,0,0,0,0,0,ORIGINAL,97,0,,2011-155003
15,7326,4,3,2011,10,09,0470856,0,0,24,0,1102,2,mdoc1102.tif,00045420.tif,LITTLE TUNNY,4681,1579,1,1,0,0,0,0,0,ORIGINAL,98,0,,2011-157901
15,7326,4,3,2011,10,09,0470856,0,0,24,0,1102,2,mdoc1102.tif,00045423.tif,DOLPHIN,1050,1579,1,1,0,0,0,0,0,ORIGINAL,99,0,,2011-157903
15,7326,4,3,2011,10,09,0470856,0,0,24,0,1102,2,mdoc1102.tif,00045425.tif,DOLPHIN,1050,1579,1,1,0,0,0,0,0,ORIGINAL,100,0,,2011-157904
15,7326,4,3,2011,10,09,0470856,1,0,24,0,1102,2,mdoc1102.tif,00045427.tif,LITTLE TUNNY,4681,1579,2,8,0,0,0,0,0,ORIGINAL,101,0,,2011-157905
15,7326,4,3,2011,10,09,0470856,1,0,24,0,1102,2,mdoc1102.tif,00045427.tif,YFT,4711,1579,1,1,0,0,0,0,0,ORIGINAL,102,0,,2011-157905
15,7326,4,3,2011,10,09,0470856,0,0,24,0,1102,2,mdoc1102.tif,00045429.tif,DOLPHIN,1050,1579,1,2,0,0,0,0,0,ORIGINAL,103,0,,2011-157906
15,7326,4,3,2011,10,09,0470856,0,0,24,0,1102,2,mdoc1102.tif,00045431.tif,DOLPHIN,1050,1579,1,1,0,0,0,0,0,ORIGINAL,104,0,,2011-157907
16,6583,15,1,2011,10,18,0090024,0,0,25,0,2115,2,maoc2115.tif,00045932.tif,BLUEFISH,230,1657,2,0,0,1,0,0,0,ORIGINAL,105,0,,2011-165702
16,6583,15,1,2011,10,18,0090024,0,0,25,0,2115,2,maoc2115.tif,00045932.tif,SPINY DOGFISH,3521,1657,1,0,0,12,0,0,0,ORIGINAL,106,0,,2011-165702
17,6583,17,3,2011,10,23,0250098,1,0,25,0,1117,2,maoc1117.tif,00046121.tif,COD,815,1711,2,0,0,4,0,0,0,ORIGINAL,107,1,CAUGHT OUT OF AREA;,2011-171101
17,6583,17,3,2011,10,23,0250098,1,0,25,0,1117,2,maoc1117.tif,00046121.tif,CUSK,960,1711,4,0,0,1,0,0,0,ORIGINAL,108,1,ALIVE;,2011-171101
17,6583,17,3,2011,10,23,0250098,1,0,25,0,1117,2,maoc1117.tif,00046121.tif,HADDOCK,1479,1711,3,4,0,0,0,0,0,ORIGINAL,109,0,,2011-171101
17,6583,17,3,2011,10,23,0250098,1,0,25,0,1117,2,maoc1117.tif,00046121.tif,POLLOCK,2695,1711,5,1,0,0,0,0,0,ORIGINAL,110,0,,2011-171101
17,6583,17,3,2011,10,23,0250098,1,0,25,0,1117,2,maoc1117.tif,00046121.tif,SPINY DOGFISH,3521,1711,1,0,0,25,0,0,0,ORIGINAL,111,0,,2011-171101
17,6583,17,1,2011,10,23,0259031,0,0,25,0,1117,2,maoc1117.tif,00046123.tif,COD,815,1711,2,2,0,0,0,0,0,ORIGINAL,112,1,CAUGHT OUT OF AREA;,2011-171102
17,6583,17,1,2011,10,23,0259031,0,0,25,0,1117,2,maoc1117.tif,00046123.tif,HADDOCK,1479,1711,3,2,0,0,0,0,0,ORIGINAL,113,0,,2011-171102
17,6583,17,1,2011,10,23,0259031,0,0,25,0,1117,2,maoc1117.tif,00046123.tif,SPINY DOGFISH,3521,1711,1,0,0,20,0,0,0,ORIGINAL,114,0,,2011-171102
